,built_land,crops,forest,scrub,grassland,rocks,dunes,river_bank,marshes,inrertidal_flats
escenario_1,-40.47051379505274,-15.187142186799605,-363.5683613756837,-74.74131396499064,-21.466558980077338,-0.08015873816283658,-4.720967460234254,-0.32313849316336984,-18.029828596983997,-3.8569197557841246
escenario_2,-42.497957716924475,-15.601479155473044,-364.7410081816922,-75.26585721343201,-21.771811170234514,-0.2063320145594787,-5.292417765222481,-0.32313849316336984,-18.65113325306999,-3.8767014847955514
escenario_3,-43.22481613675109,-15.767394883925277,-364.9664020567186,-75.37655982890084,-21.817239361587582,-0.24090736840049942,-5.453090618694981,-0.32313849316336984,-18.74457695039594,-3.883627976840111
escenario_4,-46.138332623161546,-16.24957365310715,-365.73748264285814,-75.68901093180222,-22.048229460926365,-0.36415399636128143,-5.974474205194788,-0.32313849316336984,-19.012264339873266,-3.9030303758480396
escenario_5,-49.19560251895177,-16.811718486609067,-366.67104503377413,-76.11757992657789,-22.32565481808288,-0.4833728987477173,-6.477283830834521,-0.32313849316336984,-19.359923661822563,-3.9168377813210196
escenario_6,-41.02161757913052,-15.357487321315375,-364.0732816062275,-74.86669377068819,-21.557484328139083,-0.1264073543976849,-4.918518185938849,-0.32313849316336984,-18.216618839863308,-3.863743067864324
escenario_7,-44.241008057692966,-15.984830207553983,-365.2794791942681,-75.50218181268332,-21.901755764754284,-0.28684786415787755,-5.6657647765411046,-0.32313849316336984,-18.846700184046583,-3.8921456460496358
escenario_8,-44.241008057692966,-15.984830207553983,-365.2794791942681,-75.50218181268332,-21.901755764754284,-0.28684786415787755,-5.6657647765411046,-0.32313849316336984,-18.846700184046583,-3.8921456460496358
escenario_9,-47.229314975784064,-16.44186027559337,-366.0948836601958,-75.8002586537769,-22.10848578864963,-0.4023753350701611,-6.133480629247341,-0.32313849316336984,-19.101223175113784,-3.908259444423145
escenario_10,-50.23348257989937,-17.000048611522033,-366.9845737485921,-76.26456731609244,-22.422659596779482,-0.5270778588026559,-6.655010696450434,-0.32313849316336984,-19.471742687576917,-3.920961771102223
baseline,625.9186780387457,239.02687082936927,2367.7112119443045,509.8302440415881,164.72440201719868,92.57032694331356,15.780259950988984,0.3568899025073111,22.547546618352523,4.134727414018296
