,built_land,crops,forest,scrub,grassland,rocks,dunes,river_bank,marshes,inrertidal_flats
escenario_1,585.448164243693,223.83972864256972,2004.1428505686208,435.0889300765975,143.25784303712135,92.49016820515072,11.05929249075473,0.03375140934394136,4.517718021368526,0.2778076582341715
escenario_2,583.4207203218212,223.42539167389626,2002.9702037626125,434.5643868281561,142.95259084696417,92.36399492875407,10.487842185766503,0.03375140934394136,3.896413365282535,0.25802592922274464
escenario_3,582.6938619019946,223.25947594544397,2002.744809887586,434.4536842126873,142.9071626556111,92.32941957491306,10.327169332294005,0.03375140934394136,3.802969667956586,0.25109943717818467
escenario_4,579.7803454155842,222.77729717626215,2001.9737293014464,434.1412331097859,142.67617255627232,92.20617294695228,9.805785745794196,0.03375140934394136,3.535282278479259,0.23169703817025658
escenario_5,576.723075519794,222.2151523427602,2001.0401669105306,433.7126641150102,142.3987471991158,92.08695404456584,9.302976120154463,0.03375140934394136,3.18762295652996,0.21788963269727626
escenario_6,584.8970604596152,223.6693835080539,2003.637930338077,434.96355027089993,143.1669176890596,92.44391958891589,10.861741765050137,0.03375140934394136,4.330927778489215,0.2709843461539719
escenario_7,581.6776699810528,223.04204062181532,2002.4317327500364,434.32806222890474,142.8226462524444,92.28347907915568,10.11449517444788,0.03375140934394136,3.7008464343059395,0.2425817679686602
escenario_8,581.6776699810528,223.04204062181532,2002.4317327500364,434.32806222890474,142.8226462524444,92.28347907915568,10.11449517444788,0.03375140934394136,3.7008464343059395,0.2425817679686602
escenario_9,578.6893630629617,222.5850105537759,2001.6163282841087,434.02998538781117,142.61591622854905,92.1679516082434,9.646779321741644,0.03375140934394136,3.44632344323874,0.22646796959515073
escenario_10,575.6851954588464,222.02682221784724,2000.7266381957124,433.56567672549573,142.3017424204192,92.0432490845109,9.12524925453855,0.03375140934394136,3.075803930775605,0.21376564291607297
baseline,625.9186780387457,239.02687082936927,2367.7112119443045,509.8302440415881,164.72440201719868,92.57032694331357,15.780259950988983,0.3568899025073111,22.547546618352523,4.134727414018296
