,built_land,crops,forest,scrub,grassland,rocks,dunes,river_bank,marshes,inrertidal_flats
escenario_1,-6.465778257626549,-6.353738445432369,-15.355266281698713,-14.66003926571563,-13.03180264563112,-0.08659225997108409,-29.916918193343072,-90.54290718038742,-79.96359383201656,-93.28111310815078
escenario_2,-6.789693167503424,-6.527081704805587,-15.404792879372147,-14.762925129112661,-13.217113496008528,-0.22289217438524156,-33.538216617849784,-90.54290718038742,-82.71912491751516,-93.75954196284044
escenario_3,-6.905819821864363,-6.596494707568223,-15.41431236274028,-14.784638751786602,-13.244691796974726,-0.2602425381386215,-34.55640550682578,-90.54290718038742,-83.1335544734558,-93.92706188255936
escenario_4,-7.371298259980266,-6.79822046647927,-15.446878859120822,-14.845924073038727,-13.384920018482955,-0.3933809119895137,-37.860429573090485,-90.54290718038742,-84.32076740623424,-94.39631649272174
escenario_5,-7.859743485064438,-7.03340106837202,-15.486307755103004,-14.929985189417048,-13.553337905425748,-0.5221682959418691,-41.046749869469515,-90.54290718038742,-85.86266164348274,-94.73025399549803
escenario_6,-6.553825443852819,-6.425004547826929,-15.376591527277508,-14.684631727061905,-13.087001114678984,-0.13655277946149183,-31.168803310053168,-90.54290718038742,-80.79202206875995,-93.44613758006798
escenario_7,-7.068171890367259,-6.687461602994772,-15.427535138219406,-14.809278714843055,-13.295999558382096,-0.30987020747321325,-35.904128285199874,-90.54290718038742,-83.58647840074252,-94.13306504447631
escenario_8,-7.068171890367259,-6.687461602994772,-15.427535138219406,-14.809278714843055,-13.295999558382096,-0.30987020747321325,-35.904128285199874,-90.54290718038742,-83.58647840074252,-94.13306504447631
escenario_9,-7.545599234036672,-6.878666075719366,-15.461973648364319,-14.867744614929842,-13.421500104362988,-0.434669886514023,-38.8680582468031,-90.54290718038742,-84.7153062744591,-94.52278356180534
escenario_10,-8.025560562803626,-7.112191425397363,-15.499549602894081,-14.958815842606496,-13.61222704237734,-0.5693810059949531,-42.17301056585794,-90.54290718038742,-86.35858710999598,-94.82999430164789
baseline,62591.86780387457,23902.68708293693,236771.12119443045,50983.02440415881,16472.44020171987,9257.032694331356,1578.0259950988984,35.68899025073111,2254.754661835252,413.4727414018296
